order,occurrence,pattern,frames,instructions,cpu_ms,cpu_mips,jit_ms,jit_mips,jit_speedup,rank,deficit_from_fastest_mips,pct_of_fastest
0,0,2,765,3231222677,47215.091,68.436,13201.898,244.754,3.5764,2,0.994,99.60
1,0,3,318,811476955,18710.267,43.371,9977.320,81.332,1.8753,11,164.416,33.10
2,0,0,318,586858568,10159.870,57.762,3362.343,174.539,3.0217,8,71.210,71.02
3,0,0,318,910826109,21609.904,42.149,11562.820,78.772,1.8689,12,166.976,32.05
4,0,4,318,915328247,23245.053,39.377,13549.667,67.554,1.7155,14,178.195,27.49
5,0,4,318,569182565,12311.677,46.231,6646.959,85.631,1.8522,10,160.118,34.84
6,0,0,318,1423773687,37965.447,37.502,21888.941,65.045,1.7345,15,180.703,26.47
7,0,0,318,1388288395,36882.147,37.641,21866.691,63.489,1.6867,16,182.259,25.83
8,0,6,318,611831924,10275.948,59.540,2773.959,220.563,3.7044,3,25.185,89.75
9,0,7,318,1377678530,41471.748,33.220,25539.096,53.944,1.6239,18,191.804,21.95
10,0,7,318,1291053600,37584.934,34.350,22864.822,56.465,1.6438,17,189.284,22.98
11,0,5,318,298189064,4820.060,61.864,2264.677,131.670,2.1284,9,114.079,53.58
12,0,9,318,407597529,6325.279,64.439,1658.599,245.748,3.8136,1,0.000,100.00
13,0,10,318,414928588,7474.971,55.509,2212.634,187.527,3.3783,5,58.221,76.31
14,0,11,318,346314735,6253.152,55.382,1896.487,182.609,3.2972,6,63.140,74.31
15,0,12,318,346314738,6275.052,55.189,1907.649,181.540,3.2894,7,64.208,73.87
16,0,13,318,426237607,7686.588,55.452,2167.117,196.684,3.5469,4,49.064,80.03
17,0,14,318,1466158274,49591.364,29.565,31115.478,47.120,1.5938,19,198.628,19.17
18,0,15,318,1448675247,50271.701,28.817,31631.241,45.799,1.5893,22,199.949,18.64
19,0,14,318,1448646263,49636.971,29.185,31207.232,46.420,1.5906,20,199.328,18.89
20,0,15,318,1436207606,48834.537,29.410,31081.884,46.207,1.5712,21,199.541,18.80
21,0,16,292,113932623,2424.794,46.987,1544.004,73.790,1.5705,13,171.958,30.03
